,Season,Episode,Title,IMDB Rating,Total Votes,Air Date
0,1,1,The Pants Tent,8.1,1857,15 Oct 2000
1,1,2,Ted and Mary,7.7,1558,22 Oct 2000
2,1,3,Porno Gil,8.1,1583,29 Oct 2000
3,1,4,The Bracelet,7.9,1366,5 Nov 2000
4,1,5,Interior Decorator,8.4,1417,12 Nov 2000
5,1,6,The Wire,8.0,1278,19 Nov 2000
6,1,7,AAMCO,7.6,1223,26 Nov 2000
7,1,8,Beloved Aunt,8.7,1447,3 Dec 2000
8,1,9,Affirmative Action,8.2,1260,10 Dec 2000
9,1,10,The Group,8.7,1378,17 Dec 2000
0,2,1,The Car Salesman,8.1,1160,23 Sep 2001
1,2,2,Thor,8.6,1212,30 Sep 2001
2,2,3,Trick or Treat,8.9,1330,7 Oct 2001
3,2,4,The Shrimp Incident,8.4,1137,14 Oct 2001
4,2,5,The Thong,8.0,1097,21 Oct 2001
5,2,6,The Acupuncturist,7.6,1079,28 Oct 2001
6,2,7,The Doll,9.4,1831,4 Nov 2001
7,2,8,Shaq,8.8,1245,11 Nov 2001
8,2,9,The Baptism,8.3,1095,18 Nov 2001
9,2,10,The Massage,8.3,1036,25 Nov 2001
0,3,1,Chet's Shirt,8.5,1063,15 Sep 2002
1,3,2,The Benadryl Brownie,7.9,1004,23 Sep 2002
2,3,3,Club Soda and Salt,8.4,1044,29 Sep 2002
3,3,4,The Nanny from Hell,8.4,1046,6 Oct 2002
4,3,5,The Terrorist Attack,7.9,993,13 Oct 2002
5,3,6,The Special Section,8.4,1034,20 Oct 2002
6,3,7,The Corpse-Sniffing Dog,8.6,1010,27 Oct 2002
7,3,8,Krazee-Eyez Killa,9.0,1399,3 Nov 2002
8,3,9,"Mary, Joseph and Larry",8.1,986,10 Nov 2002
9,3,10,The Grand Opening,9.1,1356,17 Nov 2002
0,4,1,Mel's Offer,7.9,955,4 Jan 2004
1,4,2,Ben's Birthday Party,8.3,968,11 Jan 2004
2,4,3,The Blind Date,8.1,1047,18 Jan 2004
3,4,4,The Weatherman,8.2,975,25 Jan 2004
4,4,5,The 5 Wood,8.5,982,1 Feb 2004
5,4,6,The Car Pool Lane,9.1,1389,8 Feb 2004
6,4,7,The Surrogate,8.7,1055,22 Feb 2004
7,4,8,Wandering Bear,8.3,956,29 Feb 2004
8,4,9,The Survivor,8.6,1055,7 Mar 2004
9,4,10,Opening Night,8.9,1416,14 Mar 2004
0,5,1,The Larry David Sandwich,8.1,955,25 Sep 2005
1,5,2,The Bowtie,8.4,964,2 Oct 2005
2,5,3,The Christ Nail,8.4,980,9 Oct 2005
3,5,4,Kamikaze Bingo,8.2,965,16 Oct 2005
4,5,5,Lewis Needs a Kidney,8.6,932,30 Oct 2005
5,5,6,The Smoking Jacket,7.8,917,6 Nov 2005
6,5,7,The Seder,8.6,940,13 Nov 2005
7,5,8,The Ski Lift,9.2,1285,20 Nov 2005
8,5,9,The Korean Bookie,8.2,888,27 Nov 2005
9,5,10,The End,8.4,1113,4 Dec 2005
0,6,1,Meet the Blacks,8.3,1026,9 Sep 2007
1,6,2,The Anonymous Donor,8.5,1016,16 Sep 2007
2,6,3,The Ida Funkhouser Roadside Memorial,8.8,1035,23 Sep 2007
3,6,4,The Lefty Call,8.2,918,30 Sep 2007
4,6,5,The Freak Book,8.7,1017,7 Oct 2007
5,6,6,The Rat Dog,8.6,972,14 Oct 2007
6,6,7,The TiVo Guy,8.2,944,21 Oct 2007
7,6,8,The N Word,8.8,1050,28 Oct 2007
8,6,9,The Therapists,9.0,1080,4 Nov 2007
9,6,10,The Bat Mitzvah,9.1,1193,11 Nov 2007
0,7,1,Funkhouser's Crazy Sister,8.4,1035,20 Sep 2009
1,7,2,Vehicular Fellatio,8.8,1096,27 Sep 2009
2,7,3,The Reunion,8.5,1004,4 Oct 2009
3,7,4,The Hot Towel,8.3,916,11 Oct 2009
4,7,5,Denise Handicap,9.1,1260,18 Oct 2009
5,7,6,The Bare Midriff,8.3,1021,25 Oct 2009
6,7,7,The Black Swan,8.8,1032,1 Nov 2009
7,7,8,Officer Krupke,8.3,939,8 Nov 2009
8,7,9,The Table Read,9.1,1171,15 Nov 2009
9,7,10,Seinfeld,9.2,1337,22 Nov 2009
0,8,1,The Divorce,8.2,932,10 Jul 2011
1,8,2,The Safe House,8.2,896,17 Jul 2011
2,8,3,Palestinian Chicken,9.3,1588,24 Jul 2011
3,8,4,The Smiley Face,8.0,820,31 Jul 2011
4,8,5,Vow of Silence,8.6,864,7 Aug 2011
5,8,6,The Hero,8.7,882,14 Aug 2011
6,8,7,The Bi-Sexual,7.9,837,21 Aug 2011
7,8,8,Car Periscope,8.1,796,28 Aug 2011
8,8,9,Mister Softee,8.7,940,4 Sep 2011
9,8,10,Larry vs. Michael J. Fox,8.9,1085,11 Sep 2011
0,9,1,Foisted!,8.7,1501,1 Oct 2017
1,9,2,The Pickle Gambit,8.3,1101,8 Oct 2017
2,9,3,A Disturbance in the Kitchen,8.5,1028,15 Oct 2017
3,9,4,Running with the Bulls,8.6,964,22 Oct 2017
4,9,5,Thank You for Your Service,8.1,975,29 Oct 2017
5,9,6,The Accidental Text on Purpose,9.2,1247,5 Nov 2017
6,9,7,Namaste,8.4,885,12 Nov 2017
7,9,8,Never Wait for Seconds!,8.5,874,19 Nov 2017
8,9,9,The Shucker,8.1,806,26 Nov 2017
9,9,10,Fatwa!,8.6,871,3 Dec 2017
0,10,1,Happy New Year,9.2,1889,19 Jan 2020
1,10,2,Side Sitting,8.2,1085,26 Jan 2020
2,10,3,Artificial Fruit,8.3,1075,2 Feb 2020
3,10,4,You're Not Going to Get Me to Say Anything Bad About Mickey,8.7,1078,9 Feb 2020
4,10,5,Insufficient Praise,8.4,906,16 Feb 2020
5,10,6,The Surprise Party,8.3,854,23 Feb 2020
6,10,7,The Ugly Section,8.5,911,1 Mar 2020
7,10,8,"Elizabeth, Margaret and Larry",9.2,1144,8 Mar 2020
8,10,9,Beep Panic,8.1,742,15 Mar 2020
9,10,10,The Spite Store,8.7,838,22 Mar 2020
